"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 6 of 7",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","45","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","throwExceptionIfUsernameOrPasswordIsNull","throwExceptionIfUsernameOrPasswordIsNull()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","6","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfPasswordIsNotCorrect","loginFailedIfPasswordIsNotCorrect()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 5 of 7",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","143","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","checkLoginFunctionalityPerformance","checkLoginFunctionalityPerformance()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [3] Ivan, dummy, Optional.empty",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","48","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [1] Ivan, 123, Optional[User(id=1, userName=Ivan, password=123)]",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 7 of 7",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 1 of 7",""
"passed","Mon Jan 15 13:23:09 GMT 2024","Mon Jan 15 13:23:11 GMT 2024","2103","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","userListEmptyIfNoUserAdded","2. Если пользователь не добавлен, то коллекция пустая",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 2 of 7",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVFile","loginParametrizedTestWithCSVFile(String, String) Petr, 111 test done!!!",""
"broken","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:17 GMT 2024","4720","","ru.pstest.ui.SimpleUITestingTest","","ru.pstest.ui.SimpleUITestingTest","testSimpleUIText","testSimpleUIText()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","14","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVSource","Login test with CSV Source [1] Ivan, 123",""
"broken","Mon Jan 15 13:23:11 GMT 2024","Mon Jan 15 13:23:11 GMT 2024","8","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersConvertedToMapByID","usersConvertedToMapByID()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 3 of 7",""
"failed","Mon Jan 15 13:23:11 GMT 2024","Mon Jan 15 13:23:11 GMT 2024","98","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","shouldDeleteExistedUser","shouldDeleteExistedUser()",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 4 of 7",""
"passed","Mon Jan 15 13:23:12 GMT 2024","Mon Jan 15 13:23:12 GMT 2024","4","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVFile","loginParametrizedTestWithCSVFile(String, String) Ivan, 123 test done!!!",""
